,Unnamed: 0,Unnamed: 0.1,Date,brand J148v,PENCIL E/L,brand Z76b,brand G217u,brand O72y,brand K128P,brand z38s,brand q202Y,brand g155t,brand Y12k,brand A162z,brand l244I,brand T73v,brand c108X,brand q44b,brand y180c
227,227,227,31/05/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
228,228,228,31/05/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,229,229,31/05/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,230,230,02/06/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,231,231,09/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,232,232,09/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,233,233,14/06/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234,234,234,14/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,235,235,15/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,236,15/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,237,16/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,238,238,16/06/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,239,239,18/06/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,240,240,18/06/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,241,241,19/06/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242,242,242,19/06/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,243,243,19/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,244,244,21/06/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,245,245,21/06/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,246,246,21/06/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,247,247,22/06/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,248,248,23/06/2021,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
249,249,249,23/06/2021,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,250,23/06/2021,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,251,251,24/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,252,252,26/06/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,253,253,26/06/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
254,254,254,30/06/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,01/07/2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
256,256,256,01/07/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,257,257,01/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,258,258,03/07/2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,259,259,06/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,260,260,06/07/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,261,261,06/07/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,262,262,07/07/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,263,263,10/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264,264,264,10/07/2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
