,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand v177j,brand I232M,brand V209V,brand P144q,brand j12s,brand Y213j,brand D203E,brand N239O,brand N97e,brand B197q,brand e250p,brand R124D,brand x20y,brand H165f,brand T75q
134,134,134,06/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,135,12/10/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,136,136,16/10/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,137,137,20/10/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,138,138,31/10/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,139,139,01/11/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140,03/11/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,141,141,05/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,142,08/11/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,143,143,08/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,144,08/11/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,145,145,11/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,146,146,12/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,147,17/11/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
148,148,148,22/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,149,23/11/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,150,150,24/11/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,151,26/11/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,152,152,08/12/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,153,153,11/12/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,154,154,13/12/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,155,155,13/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,156,15/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,157,23/12/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,158,158,01/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,159,01/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,160,01/01/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,161,07/01/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,162,162,08/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,163,26/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,164,30/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,165,30/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,166,03/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,03/02/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,168,168,17/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,169,19/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,170,23/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,171,24/02/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,172,172,03/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,173,173,05/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,174,174,09/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,175,175,13/03/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,176,176,17/03/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177,177,177,21/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,178,23/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,179,179,28/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,180,05/04/2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,181,11/04/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,182,182,11/04/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,183,183,16/04/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,184,184,24/04/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,185,185,28/04/2019,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
186,186,186,28/04/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,187,187,07/06/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,188,188,12/06/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189,189,189,22/06/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,190,190,28/06/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,191,28/06/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,192,192,06/07/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,193,193,07/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,194,194,07/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,195,195,19/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,196,196,20/07/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
197,197,197,20/07/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,198,198,21/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,199,21/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,200,200,23/07/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,201,201,28/07/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,202,202,01/08/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,203,203,02/08/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204,204,204,03/08/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,205,205,16/08/2019,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
206,206,206,18/08/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,207,207,24/08/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
208,208,208,24/08/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,28/08/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
210,210,210,04/09/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,211,07/09/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,212,11/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
213,213,213,13/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,214,214,15/09/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,215,215,15/09/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,216,216,21/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
217,217,217,27/09/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,218,218,03/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,219,219,15/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,220,220,15/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,221,221,25/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,222,222,02/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,223,223,03/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,224,224,06/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
225,225,225,10/11/2019,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,226,226,10/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,227,227,10/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,228,228,10/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229,229,229,10/11/2019,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
230,230,230,10/11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231,231,231,10/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,232,232,11/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
233,233,233,11/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234,234,234,16/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,235,235,16/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236,236,236,21/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,237,21/11/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,238,238,23/11/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,239,239,24/11/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
