,Unnamed: 0,Date,brand t140p,brand v177j,brand T75q,brand w32S,brand G56h
369,369,08/11/2020,0,0,0,2,0
370,370,10/11/2020,0,0,0,1,0
371,371,10/11/2020,1,0,0,0,0
372,372,11/11/2020,0,0,0,1,0
373,373,11/11/2020,0,0,0,1,0
374,374,11/11/2020,0,0,0,1,0
375,375,11/11/2020,0,0,0,1,0
376,376,13/11/2020,1,0,0,0,0
377,377,16/11/2020,1,0,0,0,0
378,378,21/11/2020,1,0,0,0,0
379,379,21/11/2020,1,0,0,0,0
380,380,02/12/2020,1,0,0,0,0
381,381,04/12/2020,1,0,0,0,0
382,382,06/12/2020,1,0,0,0,0
383,383,20/12/2020,0,0,0,1,0
384,384,22/12/2020,1,0,0,0,0
385,385,27/12/2020,1,0,0,0,0
386,386,03/01/2021,0,0,0,0,-1
387,387,03/01/2021,0,0,0,-3,0
388,388,03/01/2021,0,-2,0,0,0
389,389,03/01/2021,0,1,0,0,0
390,390,03/01/2021,0,0,0,0,1
391,391,03/01/2021,1,0,0,0,0
392,392,08/01/2021,0,0,0,0,1
393,393,09/01/2021,0,1,0,0,0
394,394,10/01/2021,1,0,0,0,0
395,395,12/01/2021,1,0,0,0,0
396,396,13/01/2021,0,1,0,0,0
397,397,15/01/2021,0,0,1,0,0
398,398,16/01/2021,0,0,0,1,0
399,399,22/01/2021,1,0,0,0,0
400,400,24/01/2021,1,0,0,0,0
401,401,26/01/2021,1,0,0,0,0
402,402,27/01/2021,2,0,0,0,0
403,403,28/01/2021,1,0,0,0,0
404,404,30/01/2021,1,0,0,0,0
405,405,04/02/2021,1,0,0,0,0
406,406,08/02/2021,0,1,0,0,0
407,407,10/02/2021,1,0,0,0,0
408,408,10/02/2021,0,1,0,0,0
409,409,11/02/2021,1,0,0,0,0
410,410,12/02/2021,1,0,0,0,0
411,411,15/02/2021,1,0,0,0,0
412,412,15/02/2021,1,0,0,0,0
413,413,19/02/2021,1,0,0,0,0
414,414,22/02/2021,1,0,0,0,0
415,415,23/02/2021,1,0,0,0,0
416,416,28/02/2021,0,0,1,0,0
417,417,02/03/2021,1,0,0,0,0
418,418,03/03/2021,1,0,0,0,0
419,419,03/03/2021,1,0,0,0,0
420,420,09/03/2021,1,0,0,0,0
421,421,31/03/2021,0,0,2,0,0
422,422,31/03/2021,0,0,-1,0,0
423,423,31/03/2021,0,0,1,0,0
424,424,20/04/2021,0,0,0,1,0
425,425,17/06/2021,0,0,0,1,0
426,426,18/06/2021,1,0,0,0,0
427,427,28/06/2021,0,0,0,1,0
428,428,03/07/2021,0,0,1,0,0
429,429,06/07/2021,1,0,0,0,0
430,430,10/07/2021,0,0,0,1,0
431,431,10/07/2021,0,0,0,1,0
432,432,10/07/2021,0,0,1,0,0
433,433,20/07/2021,1,0,0,0,0
434,434,23/07/2021,1,0,0,0,0
435,435,28/07/2021,0,0,0,1,0
436,436,30/08/2021,1,0,0,0,0
437,437,13/09/2021,0,0,0,1,0
438,438,14/09/2021,0,0,0,0,1
439,439,15/09/2021,0,0,0,2,0
440,440,06/10/2021,0,0,0,1,0
441,441,13/10/2021,0,0,0,0,1
442,442,18/10/2021,1,0,0,0,0
443,443,28/10/2021,0,0,0,1,0
444,444,01/11/2021,1,0,0,0,0
445,445,01/11/2021,0,0,1,0,0
446,446,02/11/2021,1,0,0,0,0
447,447,13/11/2021,0,0,0,1,0
448,448,14/11/2021,0,1,0,0,0
449,449,17/11/2021,0,0,0,1,0
450,450,18/11/2021,1,0,0,0,0
451,451,21/11/2021,0,0,0,1,0
452,452,21/11/2021,1,0,0,0,0
453,453,26/11/2021,0,0,0,1,0
454,454,01/12/2021,1,0,0,0,0
455,455,01/12/2021,0,0,0,1,0
456,456,01/12/2021,0,0,0,1,0
457,457,01/12/2021,0,0,0,0,1
