,Date,NON BR,VERSACE,NILAY,PIERE CARDIN,PIER CARDIN,NURTEKS,NON B,NONB,BONDY,JEREMI,NURTEEKS,AYDOGAN,IMAJ,ANIL
175,17/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,19/12/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,20/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
178,20/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,21/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,21/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,22/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,23/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,25/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,27/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,31/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,01/01/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
187,02/01/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,07/01/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,07/01/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,14/01/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,14/01/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192,17/01/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,24/01/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194,28/01/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,02/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,03/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,05/02/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,08/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,08/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,09/02/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,09/02/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,12/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,13/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,17/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,22/02/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,24/02/2019,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
207,24/02/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,03/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
209,06/03/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,06/03/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,10/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,14/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
213,20/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,30/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
215,12/04/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,12/04/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,16/04/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,20/04/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
219,22/04/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
220,24/04/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,27/04/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222,11/05/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,20/05/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
224,30/05/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,31/05/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
226,11/06/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,16/07/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
228,17/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,17/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,21/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,21/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,22/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,24/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
234,05/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,05/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,10/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
237,10/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
238,21/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
239,24/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,13/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,15/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,18/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,21/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244,22/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245,27/09/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
246,27/09/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0
247,11/10/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
248,12/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
249,15/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250,21/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
251,21/10/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252,25/10/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0
253,27/10/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,09/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
255,10/11/2019,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
256,10/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
257,10/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
258,10/11/2019,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
259,11/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
260,12/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,12/11/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0
262,19/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,23/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
264,28/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,29/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
266,29/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
267,30/11/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
268,30/11/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
269,02/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,04/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
271,08/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
272,12/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
273,13/12/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0
274,17/12/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0
275,18/12/2019,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
276,18/12/2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
277,19/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
278,21/12/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279,17/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,17/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
281,19/01/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
282,27/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
283,29/01/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
284,04/02/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
285,05/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
286,08/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
287,11/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
288,15/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
289,15/02/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,15/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
291,15/02/2020,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
292,17/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
293,20/02/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
294,28/02/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
295,08/03/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
296,13/03/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
297,14/03/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,16/03/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
299,19/05/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,04/06/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
301,13/07/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
302,14/07/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,11/08/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
304,12/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,16/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,01/09/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
307,11/09/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
308,12/09/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
309,24/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
310,25/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
311,27/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
312,30/09/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
313,04/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
314,04/10/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
315,04/10/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
316,06/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
317,06/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
318,06/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
319,29/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
320,29/10/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
321,29/10/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
322,29/10/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
323,29/10/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0
324,29/10/2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0
325,29/10/2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0
326,29/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
327,29/10/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
328,29/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
329,29/10/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
330,10/11/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
