,Unnamed: 0,Unnamed: 0.1,Date,brand m179b,brand Y206o,brand r18p,brand e250p,brand T75q,brand V209V,brand Y213j,brand t96K,brand P144q,brand j12s,brand v177j,brand B222m,brand N239O,brand R124D,brand J246F,brand w32S,brand e26Z,brand i211A,brand k154H
146,146,146,04/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,147,04/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,148,04/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,149,07/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,150,07/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,151,07/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,152,10/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,153,153,10/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,154,10/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,155,11/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,156,11/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,157,12/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,158,12/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,159,12/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,160,15/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,161,15/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,162,15/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,163,15/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,164,16/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,165,16/11/2017,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,166,16/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,16/11/2017,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,168,17/11/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,169,18/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,170,19/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,171,19/11/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,172,19/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,173,19/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,174,19/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,175,175,19/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,176,176,19/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,177,20/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,178,22/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,179,179,22/11/2017,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,180,23/11/2017,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,181,23/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,182,182,23/11/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,183,183,24/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
184,184,184,24/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,185,24/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,186,186,24/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,187,24/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,188,24/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,189,189,24/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,190,190,24/11/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,191,25/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,192,25/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,193,25/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,194,25/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,195,195,25/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,196,25/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,197,197,26/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,198,26/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,199,26/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,200,200,26/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,201,201,26/11/2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,202,202,26/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,203,203,26/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,204,204,26/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,205,205,26/11/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,206,206,26/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,207,207,26/11/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,208,208,27/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,29/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,210,210,29/11/2017,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,211,211,29/11/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,212,212,03/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,213,213,03/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,214,214,04/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,215,215,06/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,216,216,06/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,217,217,06/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,218,218,06/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,219,219,09/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,220,220,09/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,221,09/12/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,222,222,09/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,223,12/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,224,224,14/12/2017,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,225,225,14/12/2017,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,226,226,16/12/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,227,227,16/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,228,228,16/12/2017,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,229,229,16/12/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,230,230,16/12/2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,231,231,16/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,232,232,17/12/2017,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,233,233,17/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,234,234,19/12/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,235,235,19/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,236,236,19/12/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
237,237,237,20/12/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,238,238,20/12/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,239,239,21/12/2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
