,Unnamed: 0,Unnamed: 0.1,Date,brand r165D,brand d194w,brand T75q,brand A96O,brand b184Z,brand N97e,brand P144q,brand y250R,brand g168h,brand B52k,brand F26r,brand K229H,brand w86C,brand t43I,brand t194u,brand N118F,brand b165J,brand l192e,brand f41N,brand z44A,brand S115T
140,140,140,20/05/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,141,22/05/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,142,142,25/05/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,143,143,27/05/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,144,29/05/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,145,02/06/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,146,146,11/06/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,147,147,14/06/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,148,14/06/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,149,149,15/06/2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,150,150,25/06/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,151,05/07/2019,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,152,06/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,153,153,06/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,154,07/07/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,155,09/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,156,09/07/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,157,11/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,158,14/07/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,159,15/07/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,160,16/07/2019,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,161,18/07/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,162,162,21/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,163,23/07/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,164,27/07/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,165,27/07/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,166,31/07/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,02/08/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,168,02/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,169,03/08/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,170,20/08/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,171,22/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,172,24/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,173,25/08/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,174,29/08/2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,175,175,01/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,176,176,01/09/2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,177,01/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,178,04/09/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,179,179,07/09/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,180,08/09/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,181,08/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,182,182,11/09/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,183,183,14/09/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
