,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand b184Z,brand v177j,brand N97e,brand I232M,brand V209V,brand P144q,brand f129w,brand j12s,brand Y213j,brand N239O,brand B197q,brand Z240w,brand H165f
187,187,187,07/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,188,188,13/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,189,189,23/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,190,190,26/08/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,191,191,31/08/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,192,192,01/09/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,193,01/09/2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,194,194,11/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,195,195,12/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
196,196,196,19/09/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
197,197,197,19/09/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,198,19/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,199,199,22/09/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,200,200,23/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,201,201,23/09/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,202,202,09/10/2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0
203,203,203,09/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,204,204,14/10/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,205,205,14/10/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,206,206,17/10/2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,207,207,29/10/2020,0,0,0,0,0,0,3,0,0,0,0,0,0,0
208,208,208,25/11/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,01/12/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
210,210,210,01/12/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0
