Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
STOKINGS,I2208,100380,ITALIANA,PCS,750.00,750.00
STOKINGS,IT2184,101145,ITALIANA,PCS,670.00,670.00
STOKINGS,IT2173,101146,ITALIANA,PCS,700.00,700.00
STRAPS,SH01-B,100157,NON B,PCS,200.00,200.00
STRAPS,CTS1,100909,CANSOY,PCS,90.00,90.00
BATH GOWNS,SUP13003,101165,SUDE,PCS,"2,990.00","2,990.00"
FRAGRANCES,SUNSET,100017,HUGO BOSS,PCS,0.00,0.00
FRAGRANCES,INSPIRATION,100018,LACOSTE,PCS,0.00,0.00
FRAGRANCES,TOCADILLY,100019,ROCHAS,PCS,0.00,0.00
FRAGRANCES,BEVERLYHILLS,100020,GIORGIO,PCS,0.00,0.00
FRAGRANCES,GOLD,100021,CHARLIE,PCS,0.00,0.00
FRAGRANCES,EMOTION,100267,PIER CARDIN,PCS,"1,000.00","1,000.00"
ACCESSORIES,BOTANIC/E,100012,PENCIL,PCS,100.00,100.00
ACCESSORIES,TAAG,100013,BODY SPRAY,PCS,0.00,0.00
ACCESSORIES,BOTANIC/LS,100014,LIPSTICK,PCS,400.00,400.00
ACCESSORIES,JOHNSAN,100015,FACEWASH,PCS,0.00,0.00
ACCESSORIES,NEUTROGENA,100016,FACEWASH,PCS,0.00,0.00
ACCESSORIES,BOTANIC,100244,LIPSTICK,PCS,0.00,425.00
ACCESSORIES,BOTANICE,100245,BOTANICE,PCS,0.00,90.00
ACCESSORIES,TAAG001,100246,BODY SPARY,PCS,0.00,400.00
ACCESSORIES,FACEWASH,100247,FACEWASH,PCS,0.00,550.00
ACCESSORIES,BOTANIC/NP,100353,NAIL POLISH,PCS,200.00,200.00
ACCESSORIES,BOTANIC/FW,100355,FACE WASH,PCS,550.00,550.00
ACCESSORIES,BOTANIC.ESK,100498,EYE SHADE KID,PCS,"2,000.00","2,000.00"
ACCESSORIES,MAYBELLINE.L,100499,LIPSTICK,PCS,"1,200.00","1,200.00"
ACCESSORIES,EYESHADEKIT,100528,BOTANICE,PCS,"2,000.00","2,000.00"
ACCESSORIES,NAILPAINT,100529,BOTANICE,PCS,200.00,200.00
ACCESSORIES,EYE/LIPPENCIL,100530,BOTANICE,PCS,100.00,100.00
ACCESSORIES,B-POWDER13,100748,BRONZER POWDER,PCS,"1,650.00","1,650.00"
ACCESSORIES,ESHADOW-SB,100749,EYE SHADOW STARS BAKED,PCS,"1,450.00","1,450.00"
SWIM SUITS,BS1605,100154,NON BR,PCS,"2,990.00","2,990.00"
SWIM SUITS,BL1493,100155,NON BR,PCS,"1,750.00","1,750.00"
SWIM SUITS,BS9111,100156,NON BR,PCS,"2,750.00","2,750.00"
PANTY,NK626,100493,NON BR,PCS,400.00,400.00
PANTY,SH1373,100547,NONB,PCS,350.00,350.00
PANTY,CH018,100577,COTTONHILL,PCS,550.00,550.00
PANTY,A2445,100674,NON B,PCS,300.00,300.00
PROSTHESIS PADS,PPSABINA,100011,SABINA,PCS,0.00,0.00
NIGHTIES LONG,NK6088,100022,NON BR,PCS,"2,295.00","2,295.00"
NIGHTIES LONG,NK0063,100023,NON BR,PCS,"2,995.00","2,995.00"
NIGHTIES LONG,NK0062,100024,NON BR,PCS,"2,995.00","2,995.00"
NIGHTIES LONG,NK0054,100025,NON BR,PCS,"2,995.00","2,995.00"
NIGHTIES LONG,NK0035,100026,NON BR,PCS,"3,850.00","3,850.00"
NIGHTIES LONG,NK521,100027,NON BR,PCS,"1,990.00","1,990.00"
NIGHTIES LONG,NK520,100028,NON BR,PCS,"1,890.00","1,890.00"
NIGHTIES LONG,NK2124,100029,NON BR,PCS,"1,890.00","1,890.00"
NIGHTIES LONG,NK2118,100030,NON BR,PCS,"1,995.00","1,995.00"
NIGHTIES LONG,MAXI584,100031,NON BR,PCS,"1,690.00","1,690.00"
NIGHTIES LONG,AYDO6415,100032,AYDOGAN,PCS,"2,590.00","2,590.00"
