Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
FRAGRANCES,GOLD,CHARLIE,100021,10,"1,000.00","10,000",0,0,"10,000"
FRAGRANCES,EMOTION,PIER CARDIN,100267,117,"1,000.00","117,000","1,000.00","117,000",0
LACE/SILK PANTIES,CH4974,COTTONHILL,100126,40,350,"14,000",350,"14,000",0
LACE/SILK PANTIES,F866,NON B,100836,26,450,"11,700",450,"11,700",0
LACE/SILK PANTIES,F201,NON B,100891,12,450,"5,400",450,"5,400",0
LACE/SILK PANTIES,J5532BIG,NON B,100915,14,450,"6,300",450,"6,300",0
LACE/SILK PANTIES,F376,NON B,100948,23,500,"11,500",500,"11,500",0
LACE/SILK PANTIES,K6058,NON B,100949,13,500,"6,500",500,"6,500",0
LACE/SILK PANTIES,I8115,NON B,101068,4,400,"1,600",400,"1,600",0
LACE/SILK PANTIES,J8846,NON B,101069,7,450,"3,150",450,"3,150",0
LACE/SILK PANTIES,LL105269,LADY LYK,101070,6,300,"1,800",300,"1,800",0
LACE/SILK PANTIES,I8171,NON B,101072,11,400,"4,400",400,"4,400",0
LACE/SILK PANTIES,K6126,NON B,101287,1,500,500,500,500,0
LACE/SILK PANTIES,CH4375,COTTON HILL,101288,11,550,"6,050",550,"6,050",0
LACE/SILK PANTIES,CD30366,COTTON DANCE,101289,1,400,400,400,400,0
LACE/SILK PANTIES,CDK-6,COTTON DANCE,101303,6,450,"2,700",450,"2,700",0
LACE/SILK PANTIES,J6661,NON B,101186,8,450,"3,600",450,"3,600",0
LACE/SILK PANTIES,B138,NON B,101187,10,350,"3,500",350,"3,500",0
LACE/SILK PANTIES,J6140,NON B,101188,11,400,"4,400",400,"4,400",0
LACE/SILK PANTIES,CD20650,COTTON DANCE,101206,3,500,"1,500",500,"1,500",0
LACE/SILK PANTIES,CD30660,COTTON DANCE,101209,5,500,"2,500",500,"2,500",0
NIGHTIES 3 PCS,NK3882,NON BR,100099,3,"3,995.00","11,985","3,995.00","11,985",0
NIGHTIES 4 PCS,NK4160,NON BR,100100,4,"5,590.00","22,360","5,590.00","22,360",0
NIGHTIES CSC,AYDOCAPRI,AYDOGAN,101075,3,"3,290.00","9,870","3,190.00","9,570",300
NIGHTIES CSC,IP6203,IPEKTEN,101243,3,"3,190.00","9,570","3,190.00","9,570",0
NIGHTIES CSC,IP6254,IPEKTEN,101244,3,"3,190.00","9,570","3,190.00","9,570",0
NIGHTIES L+G,NK4006,NON BR,100043,3,"4,995.00","14,985","4,995.00","14,985",0
NIGHTIES L+G,NK536,NON BR,100044,4,"2,390.00","9,560","2,390.00","9,560",0
NIGHTIES L+G,NK2120,NON BR,100045,3,"2,295.00","6,885","2,295.00","6,885",0
NIGHTIES L+G,NK0043,NON BR,100046,4,"4,995.00","19,980","4,995.00","19,980",0
NIGHTIES L+G,NK0046,NON BR,100047,1,"4,995.00","4,995","4,995.00","4,995",0
NIGHTIES L+G,NK0060,NON BR,100048,3,"4,990.00","14,970","4,990.00","14,970",0
NIGHTIES LONG,NK6088,NON BR,100022,5,"2,295.00","11,475","2,295.00","11,475",0
NIGHTIES LONG,NK0063,NON BR,100023,6,"2,995.00","17,970","2,995.00","17,970",0
NIGHTIES LONG,NK0062,NON BR,100024,5,"2,995.00","14,975","2,995.00","14,975",0
NIGHTIES LONG,NK0054,NON BR,100025,3,"2,995.00","8,985","2,995.00","8,985",0
NIGHTIES PSC,HHSF0581,HAPPY,100092,17,"1,912.65","32,515","1,995.00","33,915","-1,400"
NIGHTIES PSC,HHS061581,HAPPY,100093,14,"1,795.00","25,130","1,795.00","25,130",0
