Date,Sales,Average Discount
02/10/2018,8370,0
03/10/2018,13040,0
04/10/2018,7495,0
05/10/2018,7320,0
06/10/2018,22665,0
07/10/2018,14210,0
08/10/2018,2140,0
09/10/2018,26630,0
10/10/2018,7015,0
11/10/2018,25395,0
12/10/2018,23930,0
13/10/2018,11402,0
14/10/2018,16025,20
15/10/2018,13761,0
16/10/2018,19958,30
17/10/2018,6910,17
18/10/2018,16144,20
19/10/2018,46275,17
20/10/2018,36500,15
21/10/2018,20744,18
22/10/2018,3044,15
23/10/2018,12742,22
24/10/2018,11365,15
25/10/2018,15930,15
26/10/2018,6978,15
27/10/2018,10013,15
28/10/2018,32304,15
29/10/2018,32951,17
30/10/2018,4781,15
31/10/2018,8658,18
01/11/2018,11957,15
02/11/2018,20026,22
03/11/2018,22937,20
04/11/2018,14970,20
05/11/2018,16049,15
06/11/2018,3793,15
07/11/2018,22182,15
08/11/2018,16475,17
09/11/2018,9025,25
10/11/2018,18373,23
11/11/2018,11429,15
12/11/2018,6989,15
13/11/2018,11731,15
14/11/2018,7553,15
15/11/2018,5877,15
16/11/2018,638,15
17/11/2018,31075,15
18/11/2018,11578,19
19/11/2018,6608,15
20/11/2018,21243,15
21/11/2018,8598,15
22/11/2018,9728,17
23/11/2018,42231,23
24/11/2018,27563,16
25/11/2018,29769,17
26/11/2018,13385,15
27/11/2018,16250,15
28/11/2018,8967,15
29/11/2018,6395,15
30/11/2018,7484,15
01/12/2018,13607,20
02/12/2018,10721,15
03/12/2018,17374,15
04/12/2018,17404,24
05/12/2018,15322,18
06/12/2018,17730,20
07/12/2018,14272,15
08/12/2018,25785,15
09/12/2018,11932,17
11/12/2018,35070,18
12/12/2018,20650,17
13/12/2018,39027,16
14/12/2018,32574,16
15/12/2018,38241,16
16/12/2018,9262,15
17/12/2018,9566,15
18/12/2018,28262,16
19/12/2018,23183,17
20/12/2018,19458,17
21/12/2018,17805,15
22/12/2018,17195,17
23/12/2018,6859,17
24/12/2018,30342,20
25/12/2018,22570,15
26/12/2018,15676,17
27/12/2018,5941,15
28/12/2018,12797,15
29/12/2018,5076,15
30/12/2018,10634,23
31/12/2018,23564,18
01/01/2019,34606,16
02/01/2019,37400,17
03/01/2019,7012,22
04/01/2019,7729,15
05/01/2019,11335,19
06/01/2019,9246,15
07/01/2019,10614,15
08/01/2019,11197,15
09/01/2019,11031,15
10/01/2019,1488,15
11/01/2019,14304,15
12/01/2019,12378,15
13/01/2019,12704,15
14/01/2019,25108,15
15/01/2019,18028,15
16/01/2019,9251,15
17/01/2019,4625,15
18/01/2019,18657,21
19/01/2019,8488,15
20/01/2019,16877,20
21/01/2019,842,15
23/01/2019,21728,15
24/01/2019,15426,15
25/01/2019,12368,15
26/01/2019,9062,15
27/01/2019,10483,15
28/01/2019,12821,15
29/01/2019,9192,15
30/01/2019,38465,22
31/01/2019,5587,17
01/02/2019,30731,16
02/02/2019,30777,15
03/02/2019,41053,15
04/02/2019,4196,15
05/02/2019,18667,22
06/02/2019,27583,15
07/02/2019,3940,15
08/02/2019,18036,18
09/02/2019,37077,15
10/02/2019,12191,19
11/02/2019,5547,15
12/02/2019,16351,15
13/02/2019,16720,15
14/02/2019,13529,17
15/02/2019,9152,15
16/02/2019,12159,18
17/02/2019,21168,17
18/02/2019,8176,15
19/02/2019,21344,17
20/02/2019,6098,15
21/02/2019,19257,15
22/02/2019,30129,16
23/02/2019,12708,15
24/02/2019,30070,17
25/02/2019,13026,15
26/02/2019,12722,15
27/02/2019,16834,21
28/02/2019,12387,15
01/03/2019,44148,17
02/03/2019,17324,15
03/03/2019,35365,15
04/03/2019,13505,15
05/03/2019,20942,15
06/03/2019,64691,15
07/03/2019,36379,18
08/03/2019,19453,18
09/03/2019,20186,15
10/03/2019,11878,15
11/03/2019,11041,15
12/03/2019,8776,15
13/03/2019,12901,15
14/03/2019,11268,21
15/03/2019,18863,17
16/03/2019,10579,15
17/03/2019,27078,15
18/03/2019,25439,15
19/03/2019,29332,15
20/03/2019,9494,20
21/03/2019,12367,15
22/03/2019,17210,15
23/03/2019,18848,15
24/03/2019,11682,15
25/03/2019,4706,15
26/03/2019,11213,15
27/03/2019,4851,15
28/03/2019,7546,15
29/03/2019,16847,15
30/03/2019,9055,15
31/03/2019,17641,15
01/04/2019,10747,15
02/04/2019,6737,15
03/04/2019,17000,15
04/04/2019,5484,15
05/04/2019,15957,22
06/04/2019,20043,15
07/04/2019,11983,17
08/04/2019,7356,15
09/04/2019,3470,15
10/04/2019,13381,15
11/04/2019,22710,17
12/04/2019,38415,15
13/04/2019,31498,15
14/04/2019,17779,15
15/04/2019,15778,17
16/04/2019,23126,16
17/04/2019,13415,15
18/04/2019,3874,15
19/04/2019,16213,15
20/04/2019,32464,15
21/04/2019,2998,15
22/04/2019,11056,15
23/04/2019,16738,15
24/04/2019,24980,15
25/04/2019,3185,15
26/04/2019,16701,15
27/04/2019,13703,15
28/04/2019,12508,15
29/04/2019,4814,15
30/04/2019,8951,15
01/05/2019,16741,15
02/05/2019,4393,15
03/05/2019,13489,15
04/05/2019,8118,27
05/05/2019,26426,15
