Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
BRA PADDED,H6219,NON B,101215,0,20,17,3
BRA PADDED,H6250,NON B,101161,0,24,22,2
BRA PADDED,H20226,NON B,101162,0,30,30,0
BRA PADDED,H7076,NON B,101258,0,47,46,1
BRA PADDED,H3421,NON B,101259,0,24,23,1
BRA PADDED,H6148,NON B,101260,0,24,16,8
BRA PADDED,H6803,NON B,101261,0,24,25,-1
BRA PADDED,H20228,NON B,101262,0,24,15,9
BRA PADDED,H2185,NON B,101263,0,29,15,14
BRA PADDED,H18002,NON B,101280,0,47,31,16
BRA PADDED,BN8073,NON B,101281,0,52,51,1
BRA PADDED,FARIYA,FLOURISH,101234,0,21,20,1
BRA PADDED,H2900,NON B,101342,0,27,24,3
BRA PADDED,H0011,NON B,101350,0,18,6,12
BRA PADDED,HX7373,NON B,101351,0,18,4,14
BRA PADDED,HS018,NON B,101352,0,18,5,13
BRA PADDED,H2901,NON B,101353,0,18,2,16
BRA PADDED,H888,NON B,101354,0,27,5,22
BRA PADDED,GO4605,GOLGE,101378,0,8,0,8
BRA SET,SBDSUD3013,SABINA,100213,6,0,5,1
BRA SET,SBISUI727,SABINA,100214,6,0,6,0
BRA SET,SBISUI812,SABINA,100215,7,0,7,0
BRA SET,SBISUI822,SABINA,100216,7,0,7,0
BRA SET,SBISUI777,SABINA,100217,6,0,6,0
BRA SET,SBISUI667,SABINA,100218,7,0,6,1
BRA SET,KK161,CANSOY,100219,24,31,54,1
BRA SET,KK155,CANSOY,100220,36,63,97,2
BRA SET,KK153PU,CANSOY,100221,42,86,124,4
BRA SET,NKVS135,NON BR,100222,24,0,24,0
BRA SET,GO4715,GOLGE,100223,15,39,53,1
BRA SET,GO4705,GOLGE,100224,15,20,35,0
BRA SET,GO4650,GOLGE,100225,12,17,26,3
BRA SET,GO4740,GOLGE,100226,12,30,38,4
BRA SET,GO4750,GOLGE,100227,8,6,14,0
BRA SET,GO4610,GOLGE,100228,7,23,25,5
BRA SET,GO4565,GOLGE,100229,3,8,11,0
BRA SET,GO4555,GOLGE,100230,14,54,65,3
BRA SET,GO4530,GOLGE,100231,11,44,47,8
BRA SET,GO4725,GOLGE,100232,4,33,36,1
BRA SET,AN4686,ANIL,100233,8,2,10,0
BRA SET,AN4613,ANIL,100234,4,0,4,0
BRA SET,PC4030,PIER CARDIN,100235,6,0,6,0
BRA SET,PC4511PU,PIER CARDIN,100236,11,4,15,0
BRA SET,PC4566,PIER CARDIN,100237,4,0,4,0
BRA SET,PC4020PU,PIER CARDIN,100238,4,0,4,0
BRA SET,PC4565PU,PIER CARDIN,100239,4,0,4,0
BRA SET,PC4563PU,PIER CARDIN,100240,8,0,8,0
BRA SET,PC4561PU,PIER CARDIN,100241,8,0,7,1
BRA SET,PC4562,PIER CARDIN,100242,3,0,3,0
BRA SET,NK7338593,NON BR,100357,0,21,21,0
BRA SET,NK1889,NON BR,100358,0,10,10,0
BRA SET,GO4600PU,GOLGE,100383,0,62,55,7
BRA SET,PCDEVON,PIERE CARDIN,100384,0,8,8,0
BRA SET,PC4491,PIERE CARDIN,100385,0,6,6,0
BRA SET,PC4560,PIERE CARDIN,100386,0,1,1,0
BRA SET,PC4503,PIRERE CARDIN,100387,0,2,2,0
BRA SET,GO4596,GOLGE,100388,0,7,7,0
BRA SET,GO4670,GOLGE,100389,0,2,2,0
BRA SET,NK7704,NON B,100390,0,16,16,0
BRA SET,NK7338,NON B,100391,0,6,6,0
BRA SET,SH102-133,NON B,100392,0,14,14,0
BRA SET,NU4321,NURTEKS,100406,0,14,11,3
BRA SET,NU4040,NURTEKS,100407,0,7,7,0
BRA SET,GO4595,GOLGE,100421,0,5,3,2
BRA SET,PC4491PU,PIERE CARDIN,100422,0,1,1,0
BRA SET,PC4564,PIERE CARDIN,100423,0,9,9,0
BRA SET,GO4600,GOLGE,100447,0,8,8,0
BRA SET,GO4531,GOLGE,100482,0,41,35,6
BRA SET,NK9051,NON BR,100483,0,24,24,0
BRA SET,NK8900,NON BR,100484,0,8,8,0
BRA SET,NK3516,NON BR,100485,0,20,20,0
BRA SET,SPRITE592,NON BR,100486,0,10,10,0
BRA SET,BO8002,BONDY,100509,0,7,7,0
BRA SET,SCM10008,SCM,100511,0,11,11,0
BRA SET,SCM10002,SCM,100512,0,18,18,0
BRA SET,NU4485,NURTEKS,100563,0,38,30,8
BRA SET,AN4637,ANIL,100564,0,6,6,0
BRA SET,HBLHUL515,SABINA,100565,0,19,18,1
BRA SET,HBLHUL516,SABINA,100566,0,6,6,0
BRA SET,HBLHUL508,SABINA,100567,0,9,9,0
BRA SET,NK1922057,NONB,100572,0,5,5,0
BRA SET,SCM10048,SCM,100587,0,6,6,0
BRA SET,HBLHUL533,SABINA,100588,0,17,11,6
BRA SET,PC4511,PIERRE CARDIN,100614,0,1,1,0
BRA SET,NK5047,NON B,100615,0,27,27,0
BRA SET,NK1036,NON B,100616,0,16,16,0
BRA SET,FLASSORT594,NON B,100641,0,81,81,0
BRA SET,NK1232054,NON B,100795,0,5,5,0
BRA SET,H1610,NON B,100826,0,17,17,0
BRA SET,E1905,NON B,100827,0,41,35,6
BRA SET,E1906,NON B,100828,0,21,21,0
BRA SET,HBLHUL548,SABINA,100870,0,3,3,0
BRA SET,HBLHUL544,SABINA,100871,0,5,5,0
BRA SET,HBLNHULN549,SABINA,100872,0,3,3,0
BRA SET,HBLHUL534,SABINA,100873,0,5,5,0
BRA SET,GO7200,GOLGE,100874,0,26,22,4
BRA SET,AN4727,ANIL,100875,0,7,5,2
BRA SET,NU4318,NURTEKS,100876,0,10,9,1
